construction_kind,curve_index,curve_label,family_label,a,b,s,t,F_integral,height_F,affine_point_count,projective_lower_bound,n_orbits,pari_height
d4_reciprocal,36,CURBA #36,D4_t=2/169,13,2,169,2/169,169*x^6 + 2*x^4 + 2*x^2 + 169,169,26,28,4,200000
d4_reciprocal,37,CURBA #37,D4_t=14/169,13,14,169,14/169,169*x^6 + 14*x^4 + 14*x^2 + 169,169,26,28,4,200000
d4_reciprocal,38,CURBA #38,D4_t=59/3,3,177,9,59/3,9*x^6 + 177*x^4 + 177*x^2 + 9,177,26,28,4,200000
d4_reciprocal,39,CURBA #39,D4_t=-199/81,9,-199,81,-199/81,81*x^6 - 199*x^4 - 199*x^2 + 81,199,26,28,4,200000
d4_reciprocal,40,CURBA #40,D4_t=-118/225,15,-118,225,-118/225,225*x^6 - 118*x^4 - 118*x^2 + 225,225,26,28,4,200000
d4_reciprocal,41,CURBA #41,D4_t=-34/75,15,-102,225,-34/75,225*x^6 - 102*x^4 - 102*x^2 + 225,225,26,28,4,200000
d4_reciprocal,42,CURBA #42,D4_t=-7/25,5,-7,25,-7/25,25*x^6 - 7*x^4 - 7*x^2 + 25,25,22,24,4,200000
d4_reciprocal,43,CURBA #43,D4_t=-41/49,7,-41,49,-41/49,49*x^6 - 41*x^4 - 41*x^2 + 49,49,22,24,4,200000
d4_reciprocal,44,CURBA #44,D4_t=23/49,7,23,49,23/49,49*x^6 + 23*x^4 + 23*x^2 + 49,49,22,24,4,200000
d4_reciprocal,45,CURBA #45,D4_t=31/18,6,62,36,31/18,36*x^6 + 62*x^4 + 62*x^2 + 36,62,22,24,4,200000
d4_reciprocal,46,CURBA #46,D4_t=89/9,3,89,9,89/9,9*x^6 + 89*x^4 + 89*x^2 + 9,89,22,24,4,200000
d4_reciprocal,47,CURBA #47,D4_t=97,1,97,1,97,x^6 + 97*x^4 + 97*x^2 + 1,97,22,24,4,200000
d4_reciprocal,48,CURBA #48,D4_t=-89/121,11,-89,121,-89/121,121*x^6 - 89*x^4 - 89*x^2 + 121,121,22,24,4,200000
d4_reciprocal,49,CURBA #49,D4_t=7/121,11,7,121,7/121,121*x^6 + 7*x^4 + 7*x^2 + 121,121,22,24,4,200000
d4_reciprocal,50,CURBA #50,D4_t=-119/169,13,-119,169,-119/169,169*x^6 - 119*x^4 - 119*x^2 + 169,169,22,24,4,200000
d4_reciprocal,51,CURBA #51,D4_t=119/169,13,119,169,119/169,169*x^6 + 119*x^4 + 119*x^2 + 169,169,22,24,4,200000
d4_reciprocal,52,CURBA #52,D4_t=191/9,3,191,9,191/9,9*x^6 + 191*x^4 + 191*x^2 + 9,191,22,24,4,200000
