subfamily_rank,construction_kind,family_label,family_index,execution_relative_dir,top_k_count,n_determined,n_rank_ge_6,n_rank_ge_8,n_rank_ge_10,min_rank,max_rank,sum_rank,avg_rank,determined_ranks,top_k_min_affine,best_affine
125,even_automorphism,FAMILIA #7,7,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,3,10,10,30,10.0,"[10, 10, 10]",74,108
126,even_automorphism,FAMILIA #30,30,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,3,10,10,30,10.0,"[10, 10, 10]",64,84
127,even_automorphism,FAMILIA #14,14,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,12,33,11.0,"[9, 12, 12]",62,118
128,even_automorphism,FAMILIA #18,18,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,12,33,11.0,"[9, 12, 12]",62,118
129,even_automorphism,FAMILIA #20,20,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,9,13,33,11.0,"[9, 11, 13]",64,84
130,even_automorphism,FAMILIA #18,18,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,13,32,10.666666666666666,"[9, 10, 13]",60,104
131,even_automorphism,FAMILIA #5,5,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,11,31,10.333333333333334,"[9, 11, 11]",64,96
132,even_automorphism,FAMILIA #19,19,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,11,31,10.333333333333334,"[9, 11, 11]",60,90
133,even_automorphism,FAMILIA #48,48,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,9,11,30,10.0,"[9, 10, 11]",60,82
134,even_automorphism,FAMILIA #2,2,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,11,30,10.0,"[9, 10, 11]",76,88
135,even_automorphism,FAMILIA #3,3,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,11,30,10.0,"[9, 10, 11]",76,88
136,even_automorphism,FAMILIA #17,17,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,11,30,10.0,"[9, 10, 11]",64,92
137,even_automorphism,FAMILIA #5,5,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,9,10,29,9.666666666666666,"[9, 10, 10]",68,82
138,even_automorphism,FAMILIA #11,11,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,9,10,29,9.666666666666666,"[9, 10, 10]",66,86
139,even_automorphism,FAMILIA #1,1,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,2,9,10,29,9.666666666666666,"[9, 10, 10]",60,82
140,even_automorphism,FAMILIA #24,24,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,9,10,29,9.666666666666666,"[9, 10, 10]",70,86
141,even_automorphism,FAMILIA #28,28,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,1,9,11,29,9.666666666666666,"[9, 9, 11]",48,92
142,even_automorphism,FAMILIA #15,15,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,1,9,10,28,9.333333333333334,"[9, 9, 10]",66,76
143,even_automorphism,FAMILIA #24,24,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,2,8,12,31,10.333333333333334,"[8, 11, 12]",64,92
144,even_automorphism,FAMILIA #29,29,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,8,11,30,10.0,"[8, 11, 11]",64,72
145,even_automorphism,FAMILIA #39,39,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,2,8,11,30,10.0,"[8, 11, 11]",64,72
146,even_automorphism,FAMILIA #5,5,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,12,30,10.0,"[8, 10, 12]",72,104
147,even_automorphism,FAMILIA #23,23,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,12,30,10.0,"[8, 10, 12]",62,92
148,even_automorphism,FAMILIA #36,36,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,2,8,11,29,9.666666666666666,"[8, 10, 11]",64,76
149,even_automorphism,FAMILIA #9,9,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,11,29,9.666666666666666,"[8, 10, 11]",72,108
150,even_automorphism,FAMILIA #13,13,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",68,84
151,even_automorphism,FAMILIA #13,13,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",68,84
152,even_automorphism,FAMILIA #36,36,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",62,88
153,even_automorphism,FAMILIA #16,16,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",44,64
154,even_automorphism,FAMILIA #16,16,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",66,104
155,even_automorphism,FAMILIA #17,17,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",64,98
156,even_automorphism,FAMILIA #20,20,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,2,8,10,28,9.333333333333334,"[8, 10, 10]",64,98
157,even_automorphism,FAMILIA #43,43,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,1,8,11,27,9.0,"[8, 8, 11]",62,88
158,even_automorphism,FAMILIA #49,49,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,1,8,10,27,9.0,"[8, 9, 10]",60,102
159,even_automorphism,FAMILIA #49,49,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,1,8,11,27,9.0,"[8, 8, 11]",44,64
160,even_automorphism,FAMILIA #38,38,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,1,8,11,27,9.0,"[8, 8, 11]",50,80
161,even_automorphism,FAMILIA #17,17,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,1,8,10,27,9.0,"[8, 9, 10]",42,74
162,even_automorphism,FAMILIA #13,13,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,1,8,10,26,8.666666666666666,"[8, 8, 10]",66,82
163,even_automorphism,FAMILIA #32,32,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,1,8,10,26,8.666666666666666,"[8, 8, 10]",62,88
164,even_automorphism,FAMILIA #47,47,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,1,8,10,26,8.666666666666666,"[8, 8, 10]",62,88
165,even_automorphism,FAMILIA #7,7,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,3,3,3,0,8,9,26,8.666666666666666,"[8, 9, 9]",74,130
166,even_automorphism,FAMILIA #12,12,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,0,8,9,26,8.666666666666666,"[8, 9, 9]",50,80
167,even_automorphism,FAMILIA #6,6,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,0,8,9,25,8.333333333333334,"[8, 8, 9]",68,92
168,even_automorphism,FAMILIA #4,4,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,0,8,9,25,8.333333333333334,"[8, 8, 9]",68,92
169,even_automorphism,FAMILIA #4,4,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,0,8,8,24,8.0,"[8, 8, 8]",54,74
170,even_automorphism,FAMILIA #22,22,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,3,3,3,0,8,8,24,8.0,"[8, 8, 8]",64,82
171,even_automorphism,FAMILIA #26,26,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,3,0,8,8,24,8.0,"[8, 8, 8]",64,82
172,even_automorphism,FAMILIA #14,14,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,0,8,8,24,8.0,"[8, 8, 8]",46,90
173,even_automorphism,FAMILIA #43,43,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,3,0,8,8,24,8.0,"[8, 8, 8]",46,72
174,even_automorphism,FAMILIA #30,30,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,3,3,2,1,7,10,25,8.333333333333334,"[7, 8, 10]",48,72
175,even_automorphism,FAMILIA #40,40,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,3,3,2,0,7,9,25,8.333333333333334,"[7, 9, 9]",64,80
176,even_automorphism,FAMILIA #46,46,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,2,10,11,21,10.5,"[10, 11]",62,80
177,even_automorphism,FAMILIA #27,27,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,2,10,10,20,10.0,"[10, 10]",64,88
178,even_automorphism,FAMILIA #49,49,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,1,9,13,22,11.0,"[9, 13]",62,84
179,even_automorphism,FAMILIA #22,22,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,1,9,10,19,9.5,"[9, 10]",64,92
180,even_automorphism,FAMILIA #35,35,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,1,9,10,19,9.5,"[9, 10]",64,76
181,even_automorphism,FAMILIA #21,21,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,2,2,2,1,9,10,19,9.5,"[9, 10]",72,136
182,even_automorphism,FAMILIA #22,22,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,2,2,2,1,9,10,19,9.5,"[9, 10]",72,94
183,even_automorphism,FAMILIA #16,16,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,2,2,2,1,9,10,19,9.5,"[9, 10]",64,92
184,even_automorphism,FAMILIA #21,21,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,2,2,2,1,9,10,19,9.5,"[9, 10]",64,92
185,even_automorphism,FAMILIA #39,39,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,2,2,2,1,8,12,20,10.0,"[8, 12]",48,72
186,even_automorphism,FAMILIA #17,17,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,1,8,10,18,9.0,"[8, 10]",64,92
187,even_automorphism,FAMILIA #6,6,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,2,2,2,1,8,10,18,9.0,"[8, 10]",64,92
188,even_automorphism,FAMILIA #12,12,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,2,2,2,0,8,9,17,8.5,"[8, 9]",66,94
189,even_automorphism,FAMILIA #41,41,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,2,2,2,0,8,9,17,8.5,"[8, 9]",62,72
190,even_automorphism,FAMILIA #48,48,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11to10sq_B1-15to15_workers11,5,2,2,1,0,6,9,15,7.5,"[6, 9]",44,76
191,even_automorphism,FAMILIA #1,1,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,12,12,12,12.0,[12],78,108
192,even_automorphism,FAMILIA #2,2,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,12,12,12,12.0,[12],78,108
193,even_automorphism,FAMILIA #23,23,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,12,12,12,12.0,[12],70,106
194,even_automorphism,FAMILIA #12,12,even_pairs2_H1_4000_H2_150000_topRef25_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,11,11,11,11.0,[11],68,100
195,even_automorphism,FAMILIA #12,12,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,11,11,11,11.0,[11],68,100
196,even_automorphism,FAMILIA #17,17,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,1,11,11,11,11.0,[11],64,92
197,even_automorphism,FAMILIA #45,45,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,1,1,1,1,11,11,11,11.0,[11],60,106
198,even_automorphism,FAMILIA #5,5,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN7_rD7_maxR3000_maxFam20000_q-5to4_A1over3to10sq_nA22_B1-15to15_nB67_workers12,5,1,1,1,0,9,9,9,9.0,[9],68,76
199,even_automorphism,FAMILIA #4,4,even_pairs2_H1_4000_H2_150000_topRef25_goodX30_rN12_rD12_maxR5000_maxFam40000_q-10to10_A11over3to12sq_nA26_B1-18to18_nB79_workers8,5,1,1,1,0,8,8,8,8.0,[8],72,92
200,even_automorphism,FAMILIA #31,31,even_pairs2_H1_3000_H2_80000_topRef100_goodX26_rN4_rD4_maxR300_maxFam2000_q-3to3_A11over5to10sq_nA35_B1-15to15_nB67_workers11,5,1,1,1,0,8,8,8,8.0,[8],62,88
